City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
14,Victoria,HK,82.4,scattered clouds,22.29,114.16,Mini Hotel Central
15,Santiago Tuxtla,MX,75.22,moderate rain,18.47,-95.3,OYO Hotel Santiago Plaza
17,Atuona,PF,78.94,clear sky,-9.8,-139.03,Villa Enata
18,Phan Thiet,VN,88.12,scattered clouds,10.93,108.1,Hotel Saigon-PT
24,Harda,IN,84.25,clear sky,22.33,77.1,OYO 67581 Samaroh Parisar
25,Nicoya,CR,75.56,light rain,10.15,-85.45,Guayacan Real
26,Butaritari,KI,83.48,broken clouds,3.07,172.79,Isles Sunset Lodge
30,Matara,LK,85.33,light rain,5.95,80.54,Amaloh Boutique Resort
34,Hermiston,US,82.0,clear sky,45.84,-119.29,Oxford Suites Hermiston
36,Teahupoo,PF,80.6,scattered clouds,-17.83,-149.27,Vanira Lodge
37,Nemuro,JP,75.2,broken clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
42,San Ramon,US,78.8,smoke,37.78,-121.98,San Ramon Marriott
44,Hithadhoo,MV,82.31,clear sky,-0.6,73.08,Scoop Guest House
45,Liyang,CN,82.0,clear sky,29.71,118.29,Hui Boutique Hotel
48,Puerto Cabello,VE,81.64,broken clouds,10.47,-68.01,Hotel Suit Isla Larga
53,Gonaives,HT,79.23,overcast clouds,19.45,-72.68,Vertières Doux Séjour
61,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
63,Biloela,AU,80.47,broken clouds,-24.42,150.5,Silo Motor Inn
66,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
80,Faanui,PF,77.36,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
81,Prachuap Khiri Khan,TH,87.98,broken clouds,11.82,99.78,โรงแรมวราวรรณ รีสอร์ท Warawan resort&hotel
91,Lazaro Cardenas,MX,81.52,moderate rain,17.96,-102.2,Collection O Hotel Quinta Antigua
94,Kapaa,US,84.2,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
99,Kavieng,PG,84.13,moderate rain,-2.57,150.8,Nusa Island Retreat
104,Vanimo,PG,84.24,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
105,Ruteng,ID,78.71,clear sky,-8.61,120.47,Hotel FX72 Ruteng
106,Sao Filipe,CV,79.41,light rain,14.9,-24.5,Tortuga B&B
107,Katobu,ID,87.69,broken clouds,-4.94,122.53,La Ode Husein
110,Port Moresby,PG,87.8,smoke,-9.44,147.18,Lamana Hotel
115,Bengkulu,ID,84.22,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
118,Hervey Bay,AU,78.01,broken clouds,-25.3,152.85,Shelly Bay Resort
126,Gua Musang,MY,87.15,overcast clouds,4.88,101.96,Mines Inn Hotel
127,Karratha,AU,86.43,broken clouds,-20.74,116.85,ibis Styles Karratha
128,Tiarei,PF,80.6,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
133,Itoman,JP,84.2,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
134,Zhuhai,CN,84.99,scattered clouds,22.28,113.57,珠海粤财假日酒店
138,Cabo San Lucas,MX,84.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
139,Bubaque,GW,79.57,light rain,11.28,-15.83,Casa Dora
146,Pauini,BR,77.97,clear sky,-7.71,-66.98,Casa do Kiwliks
152,Sironj,IN,82.27,clear sky,24.1,77.7,shri shyam palace sironj
166,Fare,PF,78.49,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
170,Sola,VU,80.6,broken clouds,-13.88,167.55,Leumerus Bungalows
177,Pangkalanbuun,ID,89.06,light rain,-2.68,111.62,Grand Kecubung Hotel
180,Muli,MV,82.65,heavy intensity rain,2.92,73.57,Medhufushi Island Resort
192,Vaitape,PF,78.22,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
193,Padang,ID,79.41,moderate rain,-0.95,100.35,Mercure Padang
194,Tateyama,JP,89.6,broken clouds,34.98,139.87,Tateyama Seaside Hotel
195,Nathdwara,IN,78.8,haze,24.93,73.82,Hotel Sudarshan
198,Bandarbeyla,SO,78.3,broken clouds,9.49,50.81,REER XOOSHLE GROUP
200,Cayenne,GF,77.0,light rain,4.93,-52.33,Hôtel Le Dronmi
203,Bosaso,SO,87.84,clear sky,11.28,49.18,Red Sea Hotel
206,Kon Tum,VN,86.47,broken clouds,14.35,108.0,Hoa đà spa- homestay
207,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
209,Ixtapa,MX,86.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
219,Cockburn Town,TC,83.16,overcast clouds,21.46,-71.14,Osprey Beach Hotel
220,Kavaratti,IN,84.2,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
228,Huilong,CN,88.0,clear sky,31.81,121.66,Hilton Garden Inn Qidong
235,Kinablangan,PH,86.38,scattered clouds,7.69,126.55,Mainit Balete Hot Spring
239,Port Blair,IN,84.81,light rain,11.67,92.75,Fortune Resort Bay Island
249,Golfito,CR,75.13,overcast clouds,8.64,-83.17,Banana Bay Marina
253,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
264,Kathmandu,NP,78.8,broken clouds,27.72,85.32,Hotel Shanker Kathmandu
266,Sabha,LY,77.94,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
268,Kandrian,PG,83.35,light rain,-6.22,149.55,Kandrian Station
271,Lorengau,PG,85.05,light rain,-2.02,147.27,Lorengau Harbourside Hotel
273,Kabanjahe,ID,75.83,light rain,3.1,98.49,Pelindung Bawah Losmen
275,Puerto Escondido,MX,78.55,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
277,Laguna,US,84.2,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
283,Namatanai,PG,85.1,overcast clouds,-3.67,152.43,Namatanai Hotel
291,Sakakah,SA,80.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
293,Carutapera,BR,75.7,few clouds,-1.2,-46.02,Lidera
297,Teknaf,BD,86.74,broken clouds,20.86,92.31,Magnum Engineering & Construction
300,Gold Coast,AU,81.0,broken clouds,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
312,Tautira,PF,80.6,scattered clouds,-17.73,-149.15,Pension Oaoa
321,Maunabo,PR,81.0,light rain,18.01,-65.9,Maunacaribe
324,Soe,ID,85.77,clear sky,-9.86,124.28,Dena Hotel
328,Yulara,AU,80.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
336,Sirpur,IN,84.67,light rain,19.48,79.6,Siddharth Hotel
340,Matamoros,MX,78.01,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
344,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
345,Anahuac,MX,78.93,moderate rain,27.23,-100.15,Rancho Guadalupe
346,Praia,CV,78.8,overcast clouds,14.92,-23.51,LT Aparthotel
349,Atambua,ID,86.63,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
353,Mamallapuram,IN,86.0,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
361,Las Choapas,MX,77.2,moderate rain,17.93,-94.08,Hotel Jysmak
362,Wajima,JP,84.2,broken clouds,37.4,136.9,Wajiima Onsen Yashio
365,San Cristobal,VE,80.6,scattered clouds,7.77,-72.22,Pirineos
366,Yining,CN,89.96,clear sky,29.04,114.56,Xiushui Hotel
367,Sarangani,PH,84.2,clear sky,5.4,125.46,Ballistic Islet
386,Markapur,IN,85.95,clear sky,15.73,79.28,VIHARI GRAND INN
387,Tezu,IN,89.01,light rain,27.92,96.17,Circuit House
392,Jacareacanga,BR,77.52,few clouds,-6.22,-57.75,Casa do Ian😎
394,Blackwater,AU,80.46,scattered clouds,-23.58,148.88,Blackwater Motor Inn
395,Manaure,CO,83.7,overcast clouds,11.78,-72.44,Del mar vendra
396,Alice Springs,AU,80.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
397,Gazanjyk,TM,85.5,broken clouds,39.24,55.52,Railway motel
399,Nishihara,JP,84.2,heavy intensity rain,26.18,127.76,Minshuku Agaihama
401,Tura,IN,81.54,moderate rain,25.52,90.22,Hotel RIKMAN Continental
404,Port Hedland,AU,89.6,scattered clouds,-20.32,118.57,The Esplanade Hotel
407,Gallup,US,78.01,clear sky,35.53,-108.74,El Capitan Motel
410,Marawi,PH,86.0,light rain,8.0,124.29,Salihmaruhom
416,Miri,MY,84.2,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
418,Curup,ID,77.09,moderate rain,-3.47,102.53,Rumah michiels
427,Mount Isa,AU,89.6,few clouds,-20.73,139.5,ibis Styles Mt Isa Verona
432,Acapulco,MX,76.33,heavy intensity rain,16.86,-99.89,HS Hotsson Smart Acapulco
442,Port-Gentil,GA,75.09,overcast clouds,-0.72,8.78,Fengshui Residence
444,Chinchani,IN,84.58,overcast clouds,19.87,72.7,Vasantshrushti Farm
448,Celestun,MX,81.01,light rain,20.87,-90.4,Posada Lilia
449,Nileshwar,IN,78.8,mist,12.25,75.1,Neeleshwar Hermitage
450,Kiunga,PG,81.59,light rain,-6.12,141.29,Airport Lodge Kiunga
455,Kirakira,SB,82.09,light rain,-10.45,161.92,SanBiz Lodge
456,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
461,Tual,ID,80.42,scattered clouds,-5.67,132.75,Grand Vilia Hotel
462,Naze,JP,82.4,light rain,28.37,129.48,奄美ポートタワーホテル
463,Airai,TL,78.69,clear sky,-8.93,125.41,Juvinal Martin
464,Shanghai,CN,89.6,clear sky,31.22,121.46,Regal International East Asia
467,Palatka,US,82.0,overcast clouds,29.65,-81.64,Holiday Inn Express & Suites Palatka Northwest
468,Palu,ID,87.48,light rain,-0.89,119.87,Hotel Santika Palu
469,Nouadhibou,MR,75.2,scattered clouds,20.93,-17.03,El Medina
473,Trincomalee,LK,85.89,broken clouds,8.57,81.23,Welcombe Hotel
479,Marsa Matruh,EG,78.8,clear sky,31.35,27.25,Beau Site
481,Inirida,CO,75.69,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
482,Hit,IQ,88.47,clear sky,33.64,42.83,Aboody Alhachem
483,San Patricio,MX,81.0,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
487,Yeppoon,AU,80.6,clear sky,-23.13,150.73,Villa Mar Colina
491,Isla Mujeres,MX,84.99,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
492,Rantauprapat,ID,89.33,broken clouds,2.1,99.83,Permata Land Hotel & Resort
494,Weihai,CN,84.0,clear sky,37.5,122.11,Beihai Travel Resort
496,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
497,Moussoro,TD,79.32,overcast clouds,13.64,16.49,Pharmacie alnadja Moussoro
498,Pontes E Lacerda,BR,75.06,scattered clouds,-15.23,-59.34,Hotel Bressan
499,Mackay,AU,75.99,clear sky,-21.15,149.2,International Lodge Motel
505,Mombetsu,JP,75.2,broken clouds,44.35,143.35,Okhotsk Palace Hotel
506,Khatima,IN,84.2,mist,28.92,79.97,Paradise Guest House and Restaurant
507,Sao Gabriel Da Cachoeira,BR,75.87,broken clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
508,San Fernando,PH,87.8,scattered clouds,15.03,120.69,Maharlika Hostel
519,Aland,IN,83.41,clear sky,17.57,76.57,Kumar lodge & restaurant
520,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
524,Axim,GH,75.18,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
525,Trinidad,BO,78.33,broken clouds,-14.83,-64.9,Hotel Piesta
526,Mareeba,AU,81.0,clear sky,-17.0,145.43,Trinity Plains Tourist Park
527,Chiang Khong,TH,84.2,scattered clouds,20.26,100.4,Chiangkhong Green Inn Resident
528,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
531,Nayoro,JP,80.11,light rain,44.35,142.46,大雪荘
533,Bhiwandi,IN,86.0,mist,19.3,73.07,OYO 7136 Solitaire Residency
535,Presidente Medici,BR,79.11,few clouds,-11.18,-61.9,Oliveira Palace Hotel
543,Muyuka,CM,75.2,broken clouds,4.29,9.41,Muyuka Motor Park (El Paso)
544,Rantepao,ID,84.07,broken clouds,-2.97,119.9,Hotel Luta Resort
545,Annau,TM,75.2,few clouds,37.89,58.52,Buzmein Sokak
548,Samarai,PG,78.66,light rain,-10.62,150.67,Nuli Sapi
549,Suez,EG,77.43,clear sky,29.97,32.53,Green House
554,Iracoubo,GF,78.66,clear sky,5.48,-53.2,Le Gite D Iracoubo
555,Kimbe,PG,84.52,moderate rain,-5.55,150.14,Kimbe Bay Hotel
559,Berezovyy,RU,76.64,broken clouds,51.67,135.7,"Hotel ""Phoenix"""
561,Arawa,PG,83.39,moderate rain,-6.21,155.54,Coastline Guest House
563,Gat,IL,82.99,clear sky,31.61,34.76,OlusHome
564,Garissa,KE,75.36,broken clouds,-0.45,39.64,Sharif Plaza Hotel
565,Maningrida,AU,86.4,clear sky,-12.07,134.27,Dhukurrdji Lodge
572,Isangel,VU,75.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
575,Midland,US,82.4,clear sky,32.0,-102.08,DoubleTree by Hilton Hotel Midland Plaza
579,Dhandhuka,IN,88.63,broken clouds,22.37,71.98,Amin Auto
582,Kumano,JP,84.2,moderate rain,34.34,132.59,ホテル コラソン
583,Barreirinha,BR,78.01,clear sky,-2.79,-57.07,Hotel e Restaurante Tupana Iwato
584,Gaya,IN,87.8,mist,24.78,85.0,Hotel Viraat Inn
585,Itarema,BR,77.47,clear sky,-2.92,-39.92,Windvillage
587,Mangrol,IN,83.8,broken clouds,21.12,70.12,Hotel The Royal Honours
590,Auki,SB,86.2,scattered clouds,-8.77,160.7,Auki Motel
593,Samana,DO,77.41,light rain,19.21,-69.34,The Bannister - Hotel & Yacht Club
594,Gigmoto,PH,89.31,overcast clouds,13.78,124.39,Cj's Travellers Inn
595,Sabzevar,IR,75.38,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
596,Pingshan,CN,88.56,light rain,22.99,114.71,Island Skylight Resort
598,Piney Green,US,81.0,few clouds,34.72,-77.32,Holiday City Mobile Home Park
