City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,37.4,86,100,8.05,overcast clouds
1,Avarua,CK,-21.21,-159.78,78.8,83,2,8.05,light rain
2,Dedza,MW,-14.38,34.33,46.6,96,55,5.01,broken clouds
3,Mahebourg,MU,-20.41,57.7,66.2,88,40,11.41,shower rain
4,Pafos,CY,34.77,32.42,73.4,73,0,5.82,clear sky
5,Novyy Urengoy,RU,66.08,76.63,46.6,65,0,21.97,clear sky
6,Ushuaia,AR,-54.8,-68.3,37.4,88,75,4.68,broken clouds
7,Olafsvik,IS,64.89,-23.71,45.48,73,100,2.44,overcast clouds
8,Beisfjord,NO,68.38,17.6,53.6,87,100,16.11,light rain
9,Cidreira,BR,-30.18,-50.21,55.96,85,0,10.02,clear sky
10,Vaini,TO,-21.2,-175.2,73.4,64,20,10.29,few clouds
11,De Aar,ZA,-30.65,24.01,59.14,40,15,5.37,few clouds
12,Coihaique,CL,-45.58,-72.07,32.0,91,20,3.36,few clouds
13,Gandu,BR,-13.74,-39.49,66.24,92,74,1.5,light rain
14,Victoria,HK,22.29,114.16,82.4,74,40,10.29,scattered clouds
15,Santiago Tuxtla,MX,18.47,-95.3,75.22,93,100,4.79,moderate rain
16,Corinto,GR,37.94,22.96,73.4,56,20,8.05,few clouds
17,Atuona,PF,-9.8,-139.03,78.94,74,5,21.77,clear sky
18,Phan Thiet,VN,10.93,108.1,88.12,61,40,5.95,scattered clouds
19,Jamestown,US,42.1,-79.24,54.0,81,1,3.36,clear sky
20,Saint-Philippe,RE,-21.36,55.77,64.4,88,75,9.17,broken clouds
21,Pucallpa,PE,-8.38,-74.55,74.12,84,6,1.43,clear sky
22,Makat,KZ,47.65,53.35,65.91,26,8,10.58,clear sky
23,Vetovo,BG,43.7,26.27,57.96,82,0,6.64,clear sky
24,Harda,IN,22.33,77.1,84.25,74,0,2.17,clear sky
25,Nicoya,CR,10.15,-85.45,75.56,91,100,2.04,light rain
26,Butaritari,KI,3.07,172.79,83.48,72,68,10.6,broken clouds
27,Rundu,NA,-17.93,19.77,60.44,39,0,6.53,clear sky
28,Mantua,IT,45.17,10.78,62.01,92,0,0.58,clear sky
29,Geraldton,AU,-28.77,114.6,69.8,60,0,11.41,clear sky
30,Matara,LK,5.95,80.54,85.33,68,14,9.24,light rain
31,Lazo,RU,43.38,133.9,79.2,43,69,4.56,broken clouds
