City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Patricio,MX,2020-09-02 08:21:51,19.22,-104.7,76.26,87,0,3.67
1,Punta Arenas,CL,2020-09-02 08:19:13,-53.15,-70.92,33.8,80,100,5.82
2,Klaksvik,FO,2020-09-02 08:23:34,62.23,-6.59,53.6,100,90,21.92
3,Katsuura,JP,2020-09-02 08:23:35,35.13,140.3,87.01,78,0,6.24
4,Hospet,IN,2020-09-02 08:23:35,15.27,76.4,85.39,58,100,3.18
5,Narsaq,GL,2020-09-02 08:23:35,60.92,-46.05,50.0,21,0,3.36
6,Teya,RU,2020-09-02 08:23:35,60.38,92.63,60.51,62,39,11.39
7,Comodoro Rivadavia,AR,2020-09-02 08:23:12,-45.87,-67.5,50.0,57,0,10.29
8,Barrow,US,2020-09-02 08:20:01,71.29,-156.79,35.6,93,90,16.11
9,Rikitea,PF,2020-09-02 08:23:36,-23.12,-134.97,68.88,80,73,21.52
10,Faanui,PF,2020-09-02 08:23:36,-16.48,-151.75,78.49,75,84,20.54
11,Mar Del Plata,AR,2020-09-02 08:18:40,-38.0,-57.56,45.0,81,75,9.17
12,Elizabeth City,US,2020-09-02 08:23:10,36.29,-76.25,78.8,100,75,5.82
13,Vaini,TO,2020-09-02 08:23:36,-21.2,-175.2,73.4,94,90,2.24
14,Hirado,JP,2020-09-02 08:23:37,33.36,129.55,89.01,83,75,28.86
15,Cape Town,ZA,2020-09-02 08:18:38,-33.93,18.42,62.01,72,75,27.51
16,Chokurdakh,RU,2020-09-02 08:23:37,70.63,147.92,41.95,76,96,9.8
17,Albany,US,2020-09-02 08:23:37,42.6,-73.97,66.0,72,100,8.52
18,Mataura,NZ,2020-09-02 08:23:38,-46.19,168.86,45.0,72,100,11.01
19,Lincoln,US,2020-09-02 08:21:13,40.8,-96.67,64.99,93,1,3.67
20,Port Hardy,CA,2020-09-02 08:23:38,50.7,-127.42,60.15,93,100,4.72
21,Saint-Augustin,CA,2020-09-02 08:23:38,51.23,-58.65,49.53,76,97,6.46
22,Asosa,ET,2020-09-02 08:23:39,10.07,34.53,72.41,91,29,0.65
23,Busselton,AU,2020-09-02 08:23:39,-33.65,115.33,62.01,38,53,14.76
24,The Valley,AI,2020-09-02 08:23:39,18.22,-63.06,84.2,74,20,12.75
25,Port Alfred,ZA,2020-09-02 08:23:39,-33.59,26.89,67.23,60,39,30.0
26,Butaritari,KI,2020-09-02 08:23:40,3.07,172.79,82.96,77,26,14.79
27,Darhan,MN,2020-09-02 08:23:40,49.49,105.92,72.66,47,6,8.77
28,Hermanus,ZA,2020-09-02 08:23:40,-34.42,19.23,62.01,55,39,11.99
29,Kapit,MY,2020-09-02 08:23:40,2.02,112.93,84.02,87,54,2.53
30,Dzaoudzi,YT,2020-09-02 08:23:41,-12.79,45.27,82.4,61,40,17.22
31,Bethel,US,2020-09-02 08:23:41,41.37,-73.41,64.4,93,90,6.93
32,Hilo,US,2020-09-02 08:23:41,19.73,-155.09,75.2,73,75,3.36
33,Sweetwater,US,2020-09-02 08:23:41,25.76,-80.37,84.99,78,40,6.93
34,Geraldton,AU,2020-09-02 08:23:41,-28.77,114.6,66.2,63,90,11.41
35,Ryabovo,RU,2020-09-02 08:23:42,59.4,31.13,60.01,67,90,11.18
36,Aasiaat,GL,2020-09-02 08:23:42,68.71,-52.87,33.04,94,1,6.04
37,Dikson,RU,2020-09-02 08:23:42,73.51,80.55,43.36,78,0,15.77
38,Ushuaia,AR,2020-09-02 08:22:16,-54.8,-68.3,35.6,80,100,4.7
39,Kapaa,US,2020-09-02 08:23:43,22.08,-159.32,80.6,74,40,16.11
40,Hithadhoo,MV,2020-09-02 08:23:43,-0.6,73.08,82.78,71,85,11.07
41,Naze,JP,2020-09-02 08:23:43,28.37,129.48,86.0,79,75,16.11
42,Mahebourg,MU,2020-09-02 08:19:50,-20.41,57.7,77.0,78,75,10.29
43,Bengkulu,ID,2020-09-02 08:23:44,-3.8,102.27,83.88,75,66,13.2
44,Mount Gambier,AU,2020-09-02 08:23:44,-37.83,140.77,57.2,71,75,14.99
45,Samana,DO,2020-09-02 08:21:43,19.21,-69.34,80.46,84,100,10.65
46,Puerto Ayora,EC,2020-09-02 08:23:44,-0.74,-90.35,66.0,90,65,4.0
47,Isangel,VU,2020-09-02 08:23:45,-19.55,169.27,69.22,80,53,18.57
48,Tessalit,ML,2020-09-02 08:23:45,20.2,1.01,90.09,38,0,19.44
49,Kruisfontein,ZA,2020-09-02 08:23:45,-34.0,24.73,69.01,56,55,4.0
50,Totness,SR,2020-09-02 08:23:46,5.88,-56.32,77.95,87,0,8.9
51,Rawson,AR,2020-09-02 08:20:50,-43.3,-65.1,49.93,51,79,20.67
52,Caravelas,BR,2020-09-02 08:23:46,-17.71,-39.25,71.47,79,12,9.15
53,Portland,US,2020-09-02 08:20:45,45.52,-122.68,72.0,68,1,5.82
54,Atuona,PF,2020-09-02 08:23:46,-9.8,-139.03,78.94,77,31,23.69
55,Dunedin,NZ,2020-09-02 08:23:21,-45.87,170.5,45.0,60,100,1.01
